iter	Passed	Remaining
811	5125	1186
812	5132	1180
813	5138	1174
814	5144	1167
815	5151	1161
816	5157	1155
817	5163	1148
818	5169	1142
819	5175	1136
820	5181	1129
821	5188	1123
822	5194	1117
823	5200	1110
824	5206	1104
825	5212	1098
826	5218	1091
827	5225	1085
828	5231	1079
829	5238	1072
830	5244	1066
831	5250	1060
832	5257	1054
833	5263	1047
834	5269	1041
835	5275	1034
836	5281	1028
837	5288	1022
838	5294	1015
839	5300	1009
840	5305	1003
841	5311	996
842	5317	990
843	5323	983
844	5329	977
845	5334	971
846	5340	964
847	5346	958
848	5351	951
849	5357	945
850	5363	939
851	5368	932
852	5374	926
853	5379	919
854	5385	913
855	5391	907
856	5397	900
857	5403	894
858	5409	887
859	5416	881
860	5422	875
861	5427	868
862	5433	862
863	5439	856
864	5446	850
865	5452	843
866	5458	837
867	5465	831
868	5471	824
869	5477	818
870	5483	812
871	5489	805
872	5496	799
873	5502	793
874	5508	786
875	5514	780
876	5520	774
877	5526	767
878	5532	761
879	5538	755
880	5544	748
881	5550	742
882	5556	736
883	5562	729
884	5568	723
885	5573	717
886	5579	710
887	5585	704
888	5591	698
889	5597	691
890	5602	685
891	5608	679
892	5613	672
893	5619	666
894	5625	660
895	5631	653
896	5636	647
897	5643	640
898	5648	634
899	5654	628
900	5660	621
901	5665	615
902	5671	609
903	5676	602
904	5682	596
905	5688	590
906	5693	583
907	5699	577
908	5705	571
909	5711	564
910	5717	558
911	5724	552
912	5730	546
913	5735	539
914	5741	533
915	5747	527
916	5754	520
917	5760	514
918	5767	508
919	5772	501
920	5778	495
921	5784	489
922	5790	483
923	5796	476
924	5803	470
925	5809	464
926	5815	457
927	5821	451
928	5827	445
929	5833	439
930	5839	432
931	5845	426
932	5851	420
933	5856	413
934	5862	407
935	5869	401
936	5875	395
937	5881	388
938	5888	382
939	5894	376
940	5900	369
941	5905	363
942	5911	357
943	5917	351
944	5923	344
945	5929	338
946	5935	332
947	5940	325
948	5946	319
949	5952	313
950	5958	306
951	5964	300
952	5969	294
953	5975	288
954	5981	281
955	5987	275
956	5992	269
957	5998	262
958	6004	256
959	6009	250
960	6015	244
961	6020	237
962	6026	231
963	6032	225
964	6037	218
965	6043	212
966	6049	206
967	6054	200
968	6060	193
969	6066	187
970	6071	181
971	6078	175
972	6083	168
973	6089	162
974	6095	156
975	6101	150
976	6107	143
977	6112	137
978	6118	131
979	6124	124
980	6129	118
981	6135	112
982	6141	106
983	6147	99
984	6153	93
985	6159	87
986	6166	81
987	6172	74
988	6178	68
989	6184	62
990	6190	56
991	6197	49
992	6203	43
993	6208	37
994	6215	31
995	6220	24
996	6227	18
997	6233	12
998	6239	6
999	6245	0
